,Insult,Date,Comment
1,0,20120528192215Z,"""i really don't understand your point.\xa0 It seems that you are mixing apples and oranges."""
11,0,20120530044519Z,"""Be careful,Jimbo.OG has a fork with your name on it."""
21,0,20120611234235Z,"""http://www.youtube.com/watch?v=tLYLLPHKRU4"""
31,0,20120529115214Z,"""A good article, which, for all the good it will do, could have been delivered to a brick wall."""
41,1,20120620075045Z,"""Is that it??  your sum total to any conversation is first abuse and then calling them a troll..   You are a typical socialist idiot.  Keep up your non existent class warfare, it is as pointless as you."""
51,1,20120320131007Z,"""Even as a troll you are a pathetic failure."""
61,1,20120619033424Z,"""god, you're tiresome. get a life, you loser."""
71,0,20120620154731Z,"""you mean like your off topic Obama rant bellow?"""
81,0,20120619201802Z,"""M\xe1tenlos!!\nhttp://1.bp.blogspot.com/-YVSZmVv2iRw/Tmo8KFaUGMI/AAAAAAAAA0k/NlLAahKNnis/s1600/kill_it_with_fire_KILL_IT_KILL_IT_WITH_FIRE-s670x394-132457.jpg"""
91,0,,"""They should put all the gay and lesbians on an island\\xe2\\x80\\xa6\\xc2\\xa0 Oh wait there is Manhattan. """
101,0,20120619182936Z,"""Powers,\n\nMSNBC Is far far more biased and hostile in it's comments than FOX. At least at FOX there are usually opposing views. MSNBC is just a shill for the president. And they keep having to fire their hosts for all the outrageous remarks they make.\n\nNow, CNN is getting almost as bad as MSNBC."""
111,0,20120529153517Z,"""Exactly. Like, I don't really give a shit how fat a person may or may not feel, but it really is shitty when your clothes don't fit. And not in a ""I'm so gross"" way but in a ""I can't very well leave the house naked!!"" way."""
121,0,20120620181659Z,"""Oops! \xa0How embarrassing (for me)... you are right People1st... I bow to the superior movie intellect of your son :)"""
131,0,20120529130655Z,"""@Axlrodes\xa0Were you here for the Wide Receiver drama?"""
141,1,20120612083701Z,"""You are one sick puppy."""
151,0,20120527181201Z,"""We afford what we HAVE to afford, Marco."""
161,0,20120529224055Z,"""Anything better than the Grover Norquist, Tea party, Wall Street, corporatist GOP."""
171,0,20120529093527Z,"""Yes but remember - the government is listening to the views of the owner of Wonga.\n\nWonga will loan your business\xa0money (at astonomical rates)"""
181,0,20120610074630Z,"""With inbreeds being the longest running malcontents."""
191,0,20120611051049Z,"""dude, it looks NOTHING like the ""fag-box."" It looks more towards PlayStation-meets-Alienware console. It has already been proven that modern consoles continually progress towards a PC. So please take your\xa0idiotically painful comments\xa0elsewhere."""
201,0,20120619063951Z,"""This man's drunk as fuck, he's on drugs, he's a male prostitute."""
211,0,20120610200600Z,"""The bad part of the story is the dumb redneck Republicans, like yourself.\n\nNot sure if these folks are sociopaths like you, though, so you're probably a downgrade from them..."""
221,0,20120609174056Z,"""Holder and Obama will be hit back from all directions and 1000 times as hard. Dozens inside the DOJ and the WH who have dignity and patriotism will turn on them both like rabid dogs. This administration is goind down and right into federal prison. Nothing can stop it now. Nothing at all. The people are pissed off and out for heads.\n\nHolder = Peice of Shit\n\nObama = Fucked Up Sociopath"""
231,0,20120529135802Z,"""oh hey, I have yousaid.it if you like."""
241,1,20120609203104Z,"""Why did you do that?"" ""Because you smell like dog poo. You're so stupid, just like dog poo. You're made outta poo!"""
251,1,,"""ugly bitch go prostitute yourself so dat you can buy a big enough pant bottom to cover your gigantic ass """
261,0,20120515172041Z,"""""""You all, including your son, deserve a slow, painful, and miserable death.""""\n\nThat's how Zimmerman stands his ground."""
271,0,20120528200032Z,"""come on Sweeney show us again man"""
281,0,20120619134407Z,"""The guy is an idiot if he sticks his dick around without protection."""
291,0,20120610015101Z,"""Your little girl will probably look just like her :) lol"""
301,1,20120515152922Z,"""More people on here than you, you cunt."""
311,0,20120619145414Z,"""I guess their coverage was IDIOTIC to YOU, especially when they were all but anointing your boy as the champion after day one of the Open. \xa0 Tht is what I dearly love about the SYCOPHANTS, they have to have it both ways...ALL THE TIME.\xa0 Crawl back under your rock CRAPI."""
