,Insult,Date,Comment
5,0,20120620171226Z,"""@SDL OK, but I would hope they'd sign him to a one-year contract to start with. Give him the chance to be reliable and productive, but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits."""
15,1,20120611090207Z,"""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
25,0,20120612144331Z,"""Craig, we have been saying from the start that this is a very entertaining show.\xa0 It awakens the horny little Goth in me.\xa0 I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house.\xa0 I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be.\xa0 Thanks, American Horror Story.\xa0 Sweet Clam loves you."""
35,0,20120620011710Z,"""Fast & furious didn't work out like they planned did it?.............lololololololol"""
45,1,20120619074710Z,"""faggot"""
55,1,20120502173058Z,"""You're a moron, truth is beyond your reach"""
65,0,20120619055834Z,"""I don't know if Lewis is a little boy or little girl. Either way it becomes the third on my list of petulant idiots. You will understand when you grow up. Ask an old bastard member of your family to explain. Such actions cannot be tolerated. How come you blame the line judge? Weird."""
75,0,20120528200101Z,"""Are you in France?"""
85,0,20120618201005Z,"""Those trails will definitely get plowed regardless of the investigation. They'll just see it as easier to plow the area than deal with it. And once they got plowed I would never return or risk getting stopped and heavily questioned by the PO-PO's. \n\nP.S. - All the stupid comments are unnecessary. It's really easy to be cold and heartless and act like you don't give a fuck. But I'd like to see these anonymous commentators talk shit like that in front of this person's family or even their own Mother's. Grow up children and learn some respect."""
95,1,,"""Correction Bitch! You don't think it's superb because your hating ass doesn't know talent..And Again I am still waiting on you to submit a video of you singing..Where is the youtube link? I am sure you will get all kinds of rave reviews lol"""
105,0,20120529210906Z,"""Not a big fan of Rondo, but the dude can ball...I wouldn't classify him as a big talker, just trying to psyche himself up..."""
115,1,20120530113926Z,"""You can take international law and\xa0 shove it. You are such a schmuck, I don t know why I even comment on your idiotic posts. The ""peace activists"" on the ship started hitting the soldiers with weapons in order to kill the."""
125,0,20120514051012Z,"""That jump shooting bit gets old.  When you don't get calls on contact and get your shot thrown off you look for separation and you jump shoot.  Especially if you ain't big, which is most teams because bigs and longs are rare/expensive at pro level."""
135,0,20120527182916Z,"""So not focusing on Boston vs Miami for a minute.... Who's the scarier opponent, SanAn or OKC?"""
145,0,20120611171123Z,"""@niemerg1 Right.\xa0 Never said it was fool proof tho."""
