,Insult,Date,Comment
7,1,,"""shut the fuck up. you and the rest of your faggot friends should be burned at the stake"""
17,0,,"""Oh! & cheating as well...1966 cup was a cheat fest, & you still dare to post that comment..shame on you lol"""
27,0,20120612052926Z,"""But how would you actually get the key out?"""
37,1,20120620161958Z,"""I can't believe the stupid people on this site that have no idea what is going on.\xa0 You fools.\xa0 You are all useful idiots.\xa0 They are hiding the truth because you fools who protect him would look like the useful idiots you are."""
47,1,20120529130844Z,"""Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.\xa0 Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end."""
57,0,20120529141937Z,"""Damn, speedy recovery, Paul...raining prayers down on you!"""
67,0,20120611195156Z,"""Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also-runs... wp first and foremost"""
77,0,20120620070034Z,"""Alexis Bledel can act. Wait. Can she? I have this blind spot when it comes to impossibly beautiful women. Shit, maybe she can't act. Fuck, what the hell do I do now?\n\nWHAT THE HELL DO I DO NOW!?"""
87,0,20120612001540Z,"""and you are support argument a-hole....\n\nNot everyone games on their pc's either. \xa0Spec whores miss the point entirely.......\n\nI prefer the mac to my daily work. \xa0That beings said, I'm also a big believer in the best tool for the job and there are certain things that PC's do better, (Database and servers for instance)\n\nThe thing is that you havent proved anything other than an anti apple bias and name calling (guilty myself to get your attention) id just juvenile"""
97,1,20120515142854Z,"""And you keep on your knees and keep telling yourself that is a sausage in your mouth.\xa0 And that is cream cheese you are swallowing."""
107,0,20120611201812Z,"""It's not just the rich screaming about taxes.\xa0 It's the average middle class American who pays his/her taxes and doesn't see the benefit of those taxes (but instead sees waste).\xa0 I pay federal taxes, but I don't use public schools, I'm not collecting any govt welfare or benefits, I pay for my own healthcare etc.\xa0 I use the roads and sewers, so I don't mind paying the city taxes\xa0for that.\xa0 My trash pick up is private, so I pay that directly to the trash company.\xa0\xa0Everyone should pay for what they\xa0'use', not\xa0based on what they make.\xa0\xa0If\xa0one wants to be a part of society, one should\xa0contribute and pay their fair share.\xa0 That includes the rich or poor."""
117,0,20120619224557Z,"""If you dont have a teleport and air-mix ups ""you are nothing to me"""""
127,1,20120320210420Z,"""You're a complete and utter moron."""
137,0,20120612082854Z,"""so wat have u bn doing all along if u want to train them nw.we thot yo presence must strengthen the strike force bt proving otherws.shame!!!!!!!!!!!!!!!!!!!"""
147,0,20120611173531Z,"""Ron Paul / Cynthia Mckinney 2012\nThe all Wacko ticket!\nCalling all Paul sheep to the barn for your daily feeding. Don't forget your wallet!"""
157,0,,"""@Blaine Jungwirth definitely thought that only deserved a 2, but hey, I takes what I gets!"""
167,1,20120528043620Z,"""You're a child rapist in NY. You have admitted it MANY times you sick fuck! You have no room to talk."""
177,0,20120528204226Z,"""camp has got to come in here and get this guy. this is where you earn your money."""
187,0,20120502062701Z,"""What the hell are you talking about?"""
197,0,,"""wait till a raptor grabs it in mid air.bad days man."""
207,0,,"""i didn't watch game so this morning watched sky see what fuss was about, i have to say at times football fans have to put there loyalty to respective clubs aside, what ballotelli did was a disgrace he  won;t admit it but that was deliberate and has no place  in football i will be amazed if he isn't banned"""
217,1,20120612023153Z,"""suck my dick yeaah babby pussy"""
227,0,,"""The Korem foundation will never see another dollar from me."""
237,0,20120527185724Z,"""obamawon due to the media not doing their jobs ,we still know nothing about obama and its almost 4 years later why ?"""
247,0,,"""@Dan_tm@noBjustRyan a funny thing happened on the way to that forum, but all the optimists were too happy to notice. """
257,0,20120612142256Z,"""How do you know?\n\nBesides who says everyone has to have Moral Standards based on my Gardener?"""
267,0,20120611212958Z,"""This is what I wore to the most recent wedding I attended, which was a daytime, black tie optional affair:\xa0http://i.imgur.com/pmQKn.jpg. I think I looked glamorous as fuck."""
277,1,20120529025307Z,"""haha...atleast get your insults straight you idiot!!...."""
287,0,,"""Yep, and that means that you would have to find another cash cow to suck the teats of...Nothing but a leach so give it up..........."""
297,0,20120529232226Z,"""Finally? Where have you been the past few years? Phils played hurt in 2010 and 2011."""
307,1,20120527233520Z,"""U dad already ashamed of u cuz he dnt know if u really his son cuz your mom was sucking and fuc.king the crew back in da days..lmao...now u grew up to hate black men wit money cuz u know dsts what your mom is looking for..lol..tell her I'll pass up on dat a.ss cuz it got to many miles on it howeva she can give me some slow head...lol..lol..lol..."""
317,1,20120609172301Z,"""How does trolling for Obama pay? Pretty well?  What? No pay? You're an idiot, don't breed."""
327,1,20120515224228Z,"""WHAT PART OF GO BACK TOO SCHOOL AND LEARN HOW TO STRING A PROPER LEGABLE SENTANCE TOGETHER DID YOU NOT UNDERSTAND DO YOU NEED A FUCKING DIAGRAM\n\nIt is obviouse your a women as you havent learnt anything go baack to the bottom were you came from until you make sense \n\nJUST A WASTE OF SERVER SPACE SAME AS ALL WOMEN. I DOUBT EVEN HUGE BLACK COCK IN YOUR FILTHY HOLE WOULD SHUT YOU UP MORON."""
337,0,20120527195326Z,"""Brown dog:\n\nRemember that you thought that............. while the crowds gather on the streets.......... Greece, Spain, France, Quebec Canada  etc etc etc ....... It is not only a dynamic that will occur in the US but is already occurring, where people want their rights and the real culprits of the financial disasters held accountable!"""
347,1,,"""\\xc2\\xa0You're female, gay, or both."""
357,0,,"""Im a man u fan. I think de gea is a flop 4 what was paid 4 him. He has made a couple good saves. \\nOther than that he lacks confidence and doesn't look ready 4 the prem. \\nI think man u will need another goalie in next couple of years as se gea will get worse. """
367,0,20120619025609Z,"""@atvcar\xa0 Nobody likes the messenger."""
377,0,20120529153418Z,"""@YinzerinCT\xa0Gangs of Connecticut.\n\xa0\nSolid movie."""
387,0,20120529043505Z,"""Looks like Ed Malloy is calling a foul on Ray playing D in the picture.. Classic"""
397,1,20120320063844Z,"""you fail at being a mother and a Marine....someone should grab your empty\xa0head and give you a killer bone crushing skull fucking in front of your father."""
407,0,20120619215044Z,"""I'm not even mad. I expect this kind of drivel from him, so it's easier to just ripholes \xa0in his 1/2\xa0thought out\xa0theorem than to take it seriously."""
417,0,20120620010148Z,"""for whatever reason, I'm not nervous, I have confidence we'll play WELL, Win or Lose....GO OKC!!!!"""
427,0,20120618235809Z,"""Stopped caring about my penis size once it became apparent to me the only person that I have to please is myself.\n\nIf my dick gets wet why does it matter if she has a good time or not? Yes my small penis has turned me into an inconsiderate dick, but it's either that or crying about it like a school girl all day."""
437,0,20120529230050Z,"""You put your left foot out.........."""
447,0,,"""it won\\'t matter what the ""official"" count is, if paul gets enough votes to go ahead of mitt romney that\\'s enormous. that could blow romney\\'s campaign completely out of the water. and that could happen, with the people in washington county now aware the whole world is watching."""
457,1,20120619231530Z,"""Quit yelling, you tedious old hack.&nbsp; Why do you care anyway? You made up your mind ages ago, things like ""facts"" and ""new information"" and ""nuance"" don't matter to you, you effing link whore."""
467,0,20120612131231Z,"""fucking idiots"""
477,1,20120619013128Z,"""Racist trash.\xa0 You are the lowest level of humanity."""
487,0,20120515145419Z,"""You must be talking about obama and holder."""
497,0,,"""or a dead blow!"""
507,0,20120612084411Z,"""Kan Shi -\nI am working with Wayne Travis\xa0- My email address dwmatthew@yahoo.com - Would like to contact you regarding this discussion, Thanks Dave"""
517,0,,"""In pittsburgh pussy ass cops woulda started shooting and killed a innocent by stander... North Philly niggas dgaf n der cops is soft. . . round here nigga put a glock to your head and not think for a second before blasting your face in nl99@!"""
527,0,20120620012644Z,"""<p>According to members of the Australian community, he is not the only molester to end up in the United States after Australian community leaders failed to report them to legal authorities. Other molesters fled the country more recently as suspicion of abuse fell on them, community members say. It is said that they frequent the same American internet site as Nanabozoh.\r\n<p>The Forward has learned that at least two suspected molesters from the Australian Jewish community are living in the United States while they are under investigation in Australia.\r\n<span style="""">\r\n\r\nRead more:<span>&nbsp;</span><a href=""http://forward.com/articles/151505/child-sex-abuse-scandal-in-australias-jewish-commu/?p=all#ixzz1yIC3WHXV"">http://forward.com/articles/151505/child-sex-abuse-scandal-in-australias-jewish-commu/?p=all#ixzz1yIC3WHXV</a></span>"""
537,1,20120502120200Z,"""Are you retarded? The family are suing hustler because they DIDN'T want those pictures published. Try reading the story properly before accusing a family of 'cashing in' on their dead relative."""
547,0,20120619164609Z,"""Notice the crickets chirping in response to my question, tidelander.  The more I chase these two the more they run away.  Perhaps because they have no idea what they are talking about."""
557,0,20120620020827Z,"""@Rourke needs to give me a fucking like\xa0\xa0@bpalton007\xa0\n\xa0\nAdmittedly it was a pretty shitty picture. He was really small in it. Had a Packers jersey on though."""
567,0,,"""How dreadful to besmirch the reputation of a beautiful young lady by claiming such a outrageous thing.  And anyway it cannot possibly be true, as you have no doubt already decided............ because she was in bed with me at the time!"""
