,Insult,Date,Comment
3,0,,"""listen if you dont wanna get married to a man or a women DONT DO IT. what would it bother you if gay people got married stay in your lane do you let them do them. And your god is so nice but quick to judg if your not like him, thought you wasnt suppose to judge people."""
13,0,,"""Hmmm. Perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can?? IDK. Stream of consciousnees thought after looking at her. """
23,0,20120503031721Z,"""you are a land creature. You would drown...."""
33,0,20120620055647Z,"""@sdnoriko LOL as if Capcom listens. Watch them fuck this up too. I hope I am wrong. I love Okami."""
43,0,20120620024445Z,"""Good job, fellas. I didn't quite read the rules about a signature piece, but I guess that was as good as any. I found some great blogs to follow, and to share over at G+. If I'm not commenting on your blogs, it's because I always throw my two cents in when I post my share. Add me on there if you are a Googler. \nhttps://plus.google.com/109258118458627782001/posts. Again, congratulations to the winners, and I hope we get the chance to submit something else. This was fucking fun."""
53,0,20120530064120Z,"""yeah well, it would still be better than letting them sit there for 20-30 years on my dime before sticking a needle in their veins. I say give them ALL a noose. If they choose to kill themselves, so be it."""
63,0,20120610012708Z,"""fucking weird game man"""
73,0,,"""Surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country????????????????"""
83,0,20120528135045Z,"""He is doing what any president doe's on this day.\nI do not recall if other presidents appeared at the Wall.\n\nelection year.... yea, but then again you would never say anything\nif he did not appear. You can not have it both ways."""
93,1,20120502203704Z,"""Lets see your papers arealconservati.\n\nTill then shut the fuuk up sticky-chin."""
103,1,20120320212724Z,"""and retards like you back to the institutions."""
113,0,20120611235119Z,"""POLITICAL CORRECTNESS:\n\nPolitical Correctness is a doctrine, fostered by a delusional, illogical minority, and rapidly promoted by an unscrupulous lamestream media, which holds forth the proposition that it is entirely possible to pick up a piece of ch*t \xa0by the clean end."""
123,0,,"""Once more we see where the soft immigration policy has let the citizens down.... I bet they come from a family who have less education than a retarded hampster yet were given a nice new life in Britain... Reap what you sow...."""
133,1,20120618200449Z,"""Nothing was confirmed in the 19th century you moron. There was no modern medical science to prove ANYTHING. Dont try to quote from the same period of time that brought us the Spanish Inquisition. You are the lowest of the low, i feel sorry for you."""
143,0,20120611013005Z,"""so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga"""
153,0,20120610043304Z,"""and like it matters, you are waiting for next year...I am still living in the playoffs...suck on it loser"""
163,0,20120609235433Z,"""Are you attempting to be kinky here?\xa0 You have some kind of fetish?"""
173,0,,"""Stacy C. is right - Dumbama and his fat-ass wife and their cronies have created this atmosphere of govt. interference and what they feel govt entities should be doing.\\xc2\\xa0 Schools and others take their cues from the top down, and when they see this admin. forcing restaurants to publish calories on menus, then they feel they should be doing ""their part"" for their messiah and become food police.\\xc2\\xa0 I cannot believe that a school puts out an approved food list.\\xc2\\xa0\\xc2\\xa0I would be suing.\\xc2\\xa0"""
183,0,,"""@nilbymouth \\n\\nYou are right concerning Campbell.  My bad.  The QB carosel has me mixed up.  Anyways, I still don't like Knapp and think we went that road with him once before and do not need to revisit it again.  Cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself.  If Knapp was truely great at what he does, he would have had some positive influence on this team with his quarterbacks, and in my opinion, he didn't....Carson Palmer needs a guy like Saunders whose offensive connection to him is undeniable..."""
193,0,,""".........And all the arseanal fans silently weep into their hankies!!\\n\\nThere's nothing to see here, fellas- he's a free man and still the Spurs manager!\\n\\n \\n\\nUNLUCKY!"""
203,0,20120612004703Z,"""@Lets_Go_West\xa0try big 100\nthey are dope"""
213,0,,"""""I may never see the light of day again"".....He should NEVER see the light of day again! Twisted beyond belief. You couldn\\'t do what he did to a dog, let alone another human being.  """
223,0,20120618194105Z,"""I wonder if that'd stand up in court. ""He might have killed someone, but fuck me he can play cricket!"" He was a prick."""
233,0,20120619141750Z,"""OMG! Are you a VS Girl also????!!!\n\nDid you hit up the semi annual sale? I went fucking crazy!!"""
243,0,20120619180350Z,"""pass on grass and pass on rainbows and wings"""
253,0,20120612050335Z,"""Agreed... you come on here to proclaim a useless point to who? the CNN community? Parasites that have nothing else better to do then trying to make a valid point to....who????"""
