,Insult,Date,Comment
9,1,20120620160512Z,"""That you are an idiot who understands neither taxation nor women's health."""
19,1,20120320203947Z,"""Your a retard go post your head up your #%&*"""
29,0,20120529230121Z,"""Even though I think there are better coaches out there, I am glad Del Negro is keeping his job.  I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row"""
39,0,20120619094846Z,"""The only ""other"" relevant fact is that HE IS DESTROYING AMERICA!"""
49,0,20120530023429Z,"""OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point, and move Westbrook to SG that team would be unstoppable.  Imagine the shots Nash would create for Durant.  Then Westbrook would be at his natural position too, the guy doesn't create shots or distribute."""
59,1,20120619203151Z,"""Your anti-Semitic rants are not welcomed here. You are a racist moron.\nFU!"""
69,0,20120527153941Z,"""you better hope because the Marlins have a history of giving up their superstars"""
79,1,20120619194023Z,"""Fact : Georgia passed a strict immigration policy and most of the Latino farm workers left the area. Vidalia Georgia now has over 3000 agriculture job openings and they have been able to fill about 250 of them in past year. All you White Real Americans who are looking for work that the Latinos stole from you..Where are you ? The jobs are i Vadalia just waiting for you..Or maybe its the fact that you would rather collect unemployment like the rest of the Tea Klaners.. You scream..you complain..and you sit at home in your wife beaters and drink beer..Typical Real White Tea Klan...."""
89,0,20120515062952Z,"""you know what would be fun? If you guys talked crap back to us. more entertaining"""
99,0,20120619032603Z,"""@Rourke needs to give me a fucking like\xa0\xa0@jwoude23\xa0hows everyone doin?"""
109,0,20120619203524Z,"""I'm amused by the fact that WeBlog cons drop any issue once it turns into a loser.\n\nThis is an expression of that amusement."""
119,0,20120610065027Z,"""robert moroni you fuckin dimwit, do you know what a parody is? It's a fuckin parody of fox news and it sounds accurate to me!"""
129,0,,"""The ignorance here is astounding. Clearly it says in the video that Cleveland was ALREADY convicted of rape and is serving jail time for it. He\\'s GUILTY. She WAS RAPED!! (for all of the morons who\\'ve said ugly statements about her or attacked the veracity of her story) The only determination that this court is trying to make is whether Cash Money should be held liable. I think it\\'s reasonable that when you invite someone to make a professional presentation at YOUR company that YOU provide necessary protections for that individual. I don\\'t care whether Cleveland was employed or just ""a hanger-on"" a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with Baby and Slim\\'s knowledge and permission. If you went to a store and were attacked by an employee or a ""friend of the boss"" (who was permitted to hang around premises), would you not hold the company responsible?\\xc2\\xa0"""
139,0,,"""Oh fab - we have a tennis player who has a sense of humour and who can smile. Mr Murray please note. Mind you he has left it too late to cheer up. Misery guts"""
149,1,,"""The way this fucking hoodrat is standing in that picture is boiling my blood. I'd like to meet this cunt in an alley for a few minutes. Selfish fucking twat."""
159,0,20120612020610Z,"""This was the JOINT back in the day!\n\nAnd am I the only one who thought Gregory looked like he could be Philip Michael Thomas' brother?  LOL"""
169,1,20120611235146Z,"""Anti American piece of-shit you are"""
179,0,20120529084343Z,"""Because that is how they get their rocks off. Our government is run by pedophiles who sexually torture children."""
189,0,20120515182944Z,"""This is so American. Load of utter 'positive people makes positive lives' fake christian bullshit.\xa0\n\nPut it this way, take 2 for example:Give up complaining. This to me just reads like 'become a walk over'. If we all gave up complaining, nothing great would get done or crap would be accepted. Go into a hairdressers, get a shit haircut for $100. Don't complain because you are a happy, pissed-off with your shit haircut, person who's just been taken for a ride.\xa0Give up the luxury of criticism. For a start it's not a luxury. You can be critical if you want. I believe it is a trait that I enjoy. Why? Many people are idiots. It's the truth. If you are in a job and you don't criticise people who do crap work then you'll have an office/workplace full of people who can't do their job.These are basic personality traits of intelligent people. But I guess retards are happier than all of us."""
199,0,,"""@big_o_other That dynamic has been clear since the teabaggers threw their first tantrum in January of 2009 and Rush declared that he wanted the president to fail.\\\\n\\\\n \\\\n\\\\nThey want the economy to suck. They NEED the economy to suck. This explains their otherwise puzzling legislative choices over the past three years."""
209,0,20120612092607Z,"""No matter how great your body looks, there's\xa0something pathetic, desperate and trashy\xa0about a woman that old acting like that!!"""
219,0,20120529213135Z,"""Eli MAnning, Brett Favre, John Elway"""
229,0,20120609235207Z,"""I could be as effective (ineffective) as Huff."""
239,0,20120620171007Z,"""HA. I'm glad you are Pena's girl, you know he really wants to play for the Red Sox. He's from Boston and went to Northeastern but got cut by the sox and he's terrible. haha. You have zero valid points."""
249,0,,"""Ron Paul could start his own third party tomorrow and suck a large percentage of Democrats, Republicans, Libertarians and Independents with him.  You think Ross Perot was bad?  Ron Paul might even challenge to win running as a 3rd Party candidate!"""
259,0,,"""Mr Cagape, the things you\\'ve listed are true but only the tip of an iceberg.\\nI\\'ve been in Hong Kong for two years now, and the longer I stay here, the more I hate this place. \\xc2\\xa0It\\'s horribly crowded, which leads to plenty of rude people and deathly polluted air. \\xc2\\xa0It\\'s ridiculously expensive, and even so, the nicer (and expensive) restaurants are always booked out and the services are shit. \\xc2\\xa0It\\'s superficial; if you are or want to be a nice person, you will always get taken advantage of, unless you dress in such a way that says ""I\\'m rich"" on your forehead. \\xc2\\xa0Even if you are rich, like some of the Chinese mainlanders that rush into the city for a weekend shopping spree, you will still get treated like shit. \\xc2\\xa0I don\\'t get why people love Hong Kong so much. \\xc2\\xa0It may look civil on the outside, but on the inside, it\\'s rotten to the core. \\xc2\\xa0It\\'s just capitalism, you may say, but I don\\'t see it in the US, and I don\\'t even see it in China mainland (which contrary to what they argue, is very much capitalist). \\xc2\\xa0Living here doesn\\'t make me rich, it makes me pull OT everyday, put up with selfish rude people everywhere, and pay ridiculously high rent for a tiny apartment every month. \\xc2\\xa0If I live here for another two years, I will become so bitter that I might just fit in."""
269,0,20120619122806Z,"""And the last day is upon us. Will I be the lucky one? Doubt it, but it's still a sexy piece of hardware!"""
279,0,20120530142522Z,"""Hey Cameren, I just met you, and this is crazy, but here's my number, so call me maybe"""
289,1,20120611232142Z,"""You are human garbage."""
299,0,,"""....he should be punished in some way obiously, just because he's in the SAS shouldn't make him untouchable!! unquote\\n\\n \\n\\n \\n\\nHe has been punished plus he will get done by the army...in the Forces you get done twice...once by the civil courts then by military justice (if I may use those terms together as you are guilty until proven even more guilty!)"""
309,0,20120610005919Z,"""My little brother and his friend are running around, making fart noises, and quoting The Lorax. I have no fucking clue what is going on."""
319,0,20120620062609Z,"""Jolie is my qurl. Excited as hell to see this movie. Too bad its 2 years away.. fuck"""
329,1,20120619141352Z,"""The comments on twitter shows that it was to embarrass Tyler.  If there was not intent of that then why would you do such a stupid idiot move as this?  We are all legally adults by the time we go to college (unless you are  a major genious), so it's time to start thinking like one."""
339,0,,"""sounds like\\xc2\\xa0Venezuela...ah, the road to being a banana republic with the emperor with no clothes that his minions the media insanely keeps insisting he isn\\'t naked...\\nand what is up is down and what is right is wrong.\\n\\n""The prince of this world"" (John 12:13) \\xc2\\xa0is a master of false systems. \\xc2\\xa0He crafts entire schools of thought that can suck us in and destroy us...He\\'s behind false religions, false\\xc2\\xa0philosophies, false doctrine, false morality, and every\\xc2\\xa0system\\xc2\\xa0of that that cannot lead anyone to God. \\xc2\\xa0He has infiltrated governments, economies,\\xc2\\xa0educational\\xc2\\xa0institutions, and anything that has influence in this world. \\xc2\\xa0The conclusion John came to is sobering. \\xc2\\xa0""The whole world lies in the power of the evil one""(John 5:19).\\n\\n\\'The Invisible War\\', Chip Ingram"""
349,0,20120619201426Z,"""Mama Manzo is evil and she MUST be stopped! =)"""
359,0,20120609211536Z,"""aside from that, they tend to run to the doctor all the time. My wife sees a doctor at least 3 or 4 times a year. Last time I saw a doctor was when I broke my hand 27 years ago."""
369,1,20120528200331Z,"""shut the fuck up"""
379,0,,"""OK, that \\xc2\\xa0is fine. He still likes to suck on pinky toes.\\xc2\\xa0"""
389,1,20120320173937Z,"""and you mother was a fucker.of dogs, to prove it, bark like the dog you are"""
399,0,20120619160328Z,"""First off, you're not a non-drinker. I am a non-drinker and I am 1000% against this law. There are idiots in this city who should have their licenses cut in half even if they don't drink at all. I have friends who are very careful drivers with clean records and no-claim insurance histories whos civil liberties are being stripped away and people like you are letting it happen. Good for you. But Redford isn't stopping here. When YOUR rights are being stripped away, you'll be changing your tune pretty much instantly."""
409,0,20120527195555Z,"""I think he forgot that we just scored 9 runs yesterday."""
419,0,20120620162050Z,"""Conservatives are social leeches and the scum of the earth."""
429,0,20120610151644Z,"""I still think Fabian Solutions is an in-house creation to provoke more posts - I can't believe any human being, even a fifth form Leftist, could be such a mollusc"""
439,0,,"""Yeah, because the other nations in the world that have legalized gay marriage have had so many cases of people wanting to marry sheep OH WAIT THEY HAVEN'T.\\xc2\\xa0 You fail at life."""
449,0,20120609225654Z,"""@mstoogood4yall: wel, you negro's are a TARGET in america you know. you're just a bullseye for the white people to target you."""
459,1,20120609195004Z,"""Let BaseGod fuck your bith man...Let him purge you of that Hate."""
469,0,20120620025443Z,"""http://www.youtube.com/watch?v=dpSU3xH4MJA Moar Green Day."""
479,0,20120610090102Z,"""If the motherfucking communist murderers in media, education and unions hush up the fact that Soetero-Dunham is a foriegn saboteur, they will certainly not be helpful now - jackasses !"""
489,0,20120530020146Z,"""They will have to move him or risk letting him walk for nothing."""
499,0,20120515125518Z,"""You have a really strange way of demonstrating your intelligence and your supposed education."""
509,0,20120611222503Z,"""The KKK have gotten good at cleaning up roadsides because they get so many DWI's."""
519,0,20120610012628Z,"""50 so promptly stated that he was going to release his album in the first week of July with or without the assistance of his label. Regardless of all the promotions and marketing and what not, he was going to release his final LP at Interscope. And he was adamant about it. That's about 3 weeks from now. In 3 weeks, artists almost ALWAYS have out at least the first two singles of an album and the tracklisting with features and production. This mother fucker still doesn't even have a fucking TITLE! An album allegedly due in 3 weeks, without a single, tracklisting, producers, album art, and a goddamn title. Fuck these videos, 50. If you really care about hip hop and your fans like you claim you do, you'd focus on your fucking album..."""
529,0,,"""@Rushedoye si la gente paga 5 euros para probar un juego pues a ti que mierda te importa\\n\\n \\n\\nasi cuando salga el juego pues los que compramos esa beta opinaremos del juego\\n\\n \\n\\nya sabes comprar, probar, dar opinion eso que suele hacer la gente, no como tu que defendias al Swtor ni tenias beta, ni tenias juego y ni tenias nada , que eres como los politicos te sueltan una charla de 1 hora y no dice basicamente nada asi eras tu con el Swtor\\n\\n \\n\\nhttp://www.livefyre.com/profile/1744539/\\n\\n \\n\\nmiro y ni reviews, ni opiniones , ni nada ,eres un troll penoso"""
539,1,20120612144635Z,"""she would do anything for her little girl u bastered u dont kno shit."""
549,0,20120530030057Z,"""Don't give up Billy - you were so close."""
559,0,20120609205759Z,"""So drinking at 14 is considered ""normal"" now....\xa0\n\nI bet you think you're just such a cool kid eh?\n\n<s>Your generation is so fucked</s>"""
569,0,20120529015123Z,"""Of course Aybbar is the one that gets the out\nHe sucks"""
579,0,,"""@...PetrsMailbox @SidneyCatsby BOOM"""
589,0,,"""We always balance the budget on the backs of the military.\\xc2\\xa0 The problem is that it is not the military that is the largest expense.\\xc2\\xa0 it is the other government workers who produce nothing.\\xc2\\xa0 They only suck up taxpayer money.\\xc2\\xa0 They make nothing and contribute only more regulations on how those of us who work shoud be taxed etc.\\n\\nThe military defends the country while the government worker defends his right to a parking slot at the federal building so he can get a bigger check."""
599,0,20120527204611Z,"""No need to prove you don't have a reasoned response by replying."""
609,0,20120611002052Z,"""Who is the real idiot, Dogtwon or me ? You have to pick one you know. Everybody can't be the stupidest person you talk to unless you talk to yourself. You asked for\xa0this\xa0with your lovely comments on how stupid everyone is that didn't vote for Ron Paul.What did he wind u with ? Last place\xa0and about 3 percent of the vote ? So 97 % of the other primary voters are all stupid morons and you are enlightened ?"""
619,1,20120514051155Z,"""truthfully your logic with the ""1/5"" and the ""political statement"" just made everyone a little bit more dumb on this article comment section. In fact you are probably in the ""1 and 5 ""\xa0 (the bullshit irrelevant statistical fact you made up) group. Put the remote down and read a book, retard."""
629,0,20120515154151Z,"""mandingo just stop. now you are claiming cotto has no balls. go learn the sport."""
639,0,20120610074701Z,"""It's amazing to me that there are so many DUPES out there that buy into the LIES the GOP puts out.. ESPECIALLY the proposition that the ""rabble"" consistently manage to vote AGAINST their OWN, BEST INTERESTS so that, when THEY eventually become ""billionaires"" (a foregone conclusion in their fevered minds), they will THANK the GOP for \u201csaving\u201d them the \u201chorrible responsibilities\u201d that paying their FAIR SHARE of taxes would mandate.\xa0\n\n\n\nOne less mansion..\n\n\n\nOne less yacht..\n\n\n\nOne less limousine..\n\n\n\nThat somehow, by EMPOWERING THE RICH AND THE CORPORATE INTERESTS to HOARD more of their wealth, that they might ""get in"" on that wealth THEMSELVES..\xa0\n\n\n\nThat VOTING for those whose PUTRID POLICIES had sent their OWN JOBS overseas, THEY somehow will ""win in the end"".\n\n\n\nDelusional.\n\n\n\nPathetic."""
649,0,20120515052242Z,"""Why don't you\xa0order a\xa0copy of ""hooked on phonics"", ""tell your blacks peoples"", black don't need an ""s"", and people is plural, you know what that mean don't you? You've spent so much time learning so much crap to pump yourself up, like thinking your better ,and know so much, that you forgot to learn correct diction. You called my people pitiful, you're the pitiful one, you should go back up into the caves of the caucasus mts. where your kind originated, living like the animal that is still in you, you're not ready to\xa0live around civilized people."""
659,0,,"""the microphone button wont work  -.-"""
669,0,20120515110001Z,"""Who are you to judge him an inadequate?"""
679,0,,"""afvet1991,\\n\\nI'm not gay, you sad little freak! Not everyone who support gay marriage are. We have empathy and compassion for others unlike you religious bigots who can't wait to judge others."""
689,0,20120619035640Z,"""When he pulled out, it looked like only 2/3 of his dick was wet...dayum! No wonder she was moaning!"""
699,0,20120612023055Z,"""Citizens United didn't have squat to do with the WI recall. \xa0\n\nhttp://campaign2012.washingtonexaminer.com/blogs/beltway-confidential/citizens-united-real-impact-wi-recall-zero/583241"""
709,0,20120611184651Z,"""And there's not a single decent white person who'd come within a mile of you.\xa0 Ironic, isn't it?"""
719,1,20120514050739Z,"""Embrace the probability of your iminant death, you idiot."""
729,0,20120529142012Z,"""yep, i still despise this show too. fucking frat boy humor."""
739,1,20120610035252Z,"""fucking savages"""
749,0,20120612052651Z,"""Are you color-blind?"""
759,0,,"""SHOLAAMEOBI ' WHAT PLANET DO YOU LIVE ON YOU NEED TO GET DOWN TO SPECSAVERS ARE YOU BLIND OR STUPID?"""
769,0,20120619044024Z,"""It's because of Perez and because of the\xa0\n\n\u266aNanana nana\n\nNanananana\u266b"""
779,0,20120612145414Z,"""Man, you've got your music knickers in a twist.\xa0 I play two three- chord riffs in e flat.\xa0 I don't know where parity comes into it.\xa0 Strum on, guy."""
789,0,20120610175817Z,"""Money & bitches but not before your niggaz. Get the money > Fuck the bitches > & ball wit yo niggaz.... preach my nigga Jones lol"""
799,1,20120320150255Z,"""And I call you a brain dead jew retard because it's true. Perhaps if you got the muslim nazi's dick out of your ass you'd have more friends."""
809,0,20120618215525Z,"""May he eat shit and <i>live</i>."""
819,0,20120619061240Z,"""Why are you willing to share a cell?"""
829,1,20120320183842Z,"""You're a turd."""
