,Insult,Date,Comment
8,1,20120502173553Z,"""Either you are fake or extremely stupid...maybe both..."""
18,1,20120320075347Z,"""your such a dickhead..."""
28,0,20120528193950Z,"""oh cool, some more internet points for your collection!"""
38,1,20120609163743Z,"""fucking behave then you prick!"""
48,0,20120610150536Z,"""That, I do not doubt...\n\n....as a Blackberry clone.\n\nBut, your original argument was not that Android would have existed, just that Android somehow predates iOS development."""
58,0,20120528151453Z,"""The laughs you two heard were triggered by memories of his own high-flying exits off moving beasts"""
68,0,,"""spursruss: I live in Argentina and its not all Argentinians. The problem being those who are loud on the issue are ill educated and you can be sure they wouldn't be rushing to fight anyone, they would be cowering in the background. My wife is Argentinean and she is the first one to recognize the stupidity of the claims. Some of muppet think they fought their Independence against the UK, morons the lot of them. The answer is simple, if we were the leading colonial force, you would be an ENGLISH speaking country, you aren't, because werent it was Spain, Portugal, France, our interests were commercial. Also the worst part is they themselves exterminated the natives, the Spanish started it but actually it was the newly formed Argies which did most of the killing of the native, lovely eh? Clueless stuff, you wonder why the Government gets away with corruption, so many ignorant people thats why...you shouldnt judge ALL by the standard, these a huge amount of Argies who see the Cristina drum beating for what it is, the same as ALL presidents of Argentina do, using it to cover their failing."""
78,0,20120612035513Z,"""I like your comments.\nHowever I would go one step further.  It's not time to ""let"" the people of IL fight back.\nRather the citizens of IL just need to fight back period.  \nI will carry next time I travel into ""little Beirut"".  i.e. Chicago"""
88,1,20120619171832Z,"""You are a fucking dumb ass!.  Go back to you Xbox dickhead.  Grow up you little fanboy."""
98,0,20120620125953Z,"""What was that, like 2000 words about nothing? You're going after Andrea Mitchell? What, was Fox infomercial not broadcasting yesterday? How about the apologies issued for the ""EPA drones""? And yet here you are attacking Andrea Mitchell about some stupid gas station gimmick.\n\nHere's another newsflash for you, Mr. Romney (R1%) is out of touch. We all already know it. Mr. Romney's amazement wasn't just about some gadget at a ""petrol filling post"" but that people could actually buy food products there and that they actually eat it.\n\nThis very second Mr. Romney isn't even carrying a wallet. And it is very likely that he doesn't even know where it is. I'm still waiting for someone to ask him the tough campaign trail question of ""how much does a gallon of milk cost?"".\n\nAndrea Mitchell and gas station food... unbelievable."""
108,1,20120320095936Z,"""Mr. King isn't it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you."""
118,0,,"""stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours.. u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period"""
128,1,20120528221848Z,"""Your still a loser, man we must have really gotten under your skin lol"""
138,0,20120619014349Z,"""The Dean of Mean is a typical Tory who believes there's one law for him and another one for everyone else.\nBig Steve better get around to firing everyone at Elections Canada and replacing them with Tory hacks before they really get into what the Tories did in the 2011 campaign."""
148,0,,"""go on move to hollywood, join russell brand and take dan lobe with you"""
158,0,20120620142254Z,"""I can't trend I'm on my iPod touch"""
168,0,20120529130729Z,"""@J.O. \xa0 The man was a genius."""
178,0,,"""You could not be more wrong. The American Tea Party stands for limited government. Fiscal responsibility, and a return to our constitution. The Tea Party when it rallies or protests does it legally with brains. We pay the permits, arrange the events, say our piece, and then clean up and go home. The occupukes on the other hand. Are not only different, they are opposite. They trespass, they steal, they show up without permission. They damage private property, they collect urine and feces to throw on people. They set fires, they smash store windows. They rape young girls. I can go on and on. Oh and the heat, AC and warm beds were all paid for by those people. don't kid yourself that we are not committed to our cause because we are not stupid like you or OWS. There is a right way and a wrong way to do things. You and the occupunks have choosen the later."""
188,0,20120529035417Z,"""people dancing, drinking, having fun at the clubs in miami\n\n""Life is good in miami, Heat won!!!! lets get drunk""\n\n--Heat fans"""
198,0,20120610002525Z,"""Have you ever given him props or at least not dissed him out on any thread? I'm not a fan of his movies either but that don't mean I start talking shit on every fucking post.."""
