,Insult,Date,Comment
4,0,20120619094753Z,"""C\xe1c b\u1ea1n xu\u1ed1ng \u0111\u01b0\u1eddng bi\u1ec3u t\xecnh 2011 c\xf3 \xf4n ho\xe0 kh\xf4ng ? \nC\xe1c ng\u01b0 d\xe2n ng\u1ed3i cu\xed \u0111\u1ea7u chi\u1ee5 nh\u1ee5c c\xf3 \xf4n ho\xe0 kh\xf4ng ?\nC\xe1c n\xf4ng d\xe2n gi\u1eef \u0111\u1ea5t \u1edf V\u0103n Giang, C\u1ea7n Th\u01a1 c\xf3 \xf4n ho\xe0 kh\xf4ng ?\n.................\nR\u1ed1t cu\u1ed9c \u0111\u01b0\u1ee3c g\xec\xa0 th\xec ch\xfang ta \u0111\xe3 bi\u1ebft !\nAi c\u0169ng y\xeau chu\u1ed9ng ho\xe0 b\xecnh, nh\u01b0ng \u0111\xf4i khi ho\xe0 b\xecnh ch\u1ec9 th\u1eadt s\u1ef1 \u0111\u1ebfn sau chi\u1ebfn tranh m\xe0 th\xf4i.\nKh\xf4ng c\xf2n con \u0111\u01b0\u1eddng n\xe0o ch\u1ecdn kh\xe1c \u0111\xe2u, \u0111\u1eebng m\u01a1 th\xeam n\u01b0\xe3."""
14,0,,"""@barrettmarson Huh? Her income was $21,912. Her spending was $5,470. My math puts that at 24.9%."""
24,0,,"""To all those doom-and-gloomers, the chicken-littles who claim the sky is falling and that society is collapsing...Canada has had gay marriage nationwide for years. Where is the disaster? Where is the collapse and the persecution you're shouting about? Where is it? Please, show us some examples because it's starting to look like your threats and fears and warnings are nothing but HOT AIR."""
34,1,20120515132156Z,"""Allinit123, your\xa0hypocrisy\xa0is sickening, you ignorant loser."""
44,0,,"""I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment... The lady had a kid 1 week ago. Women aren't safe to have sex after child birth for AT LEAST 6 weeks. So even if this WAS\\xc2\\xa0consensual, it would have been wayyyyy too soon and hurt the lady. I am so glad the the baby is so young and will not remember this event happening in it's house and I hope the mother recovers quickly."""
54,0,20120612003945Z,"""um\n\xa0\nholy fuck i need a cigarette"""
64,0,20120620031132Z,"""I told you I would give it if you did. You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still won't give it."""
74,0,20120611225404Z,"""I haven't watched Fox News in years, true."""
84,0,20120619193808Z,"""...yeah, and you're a f'ing expert.....go back to picking through trash barrels you tool"""
94,0,,"""An interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion.\\xc2\\xa0 You all aren't victims of religious oppression.\\xc2\\xa0 You are the oppressors.\\xc2\\xa0 BTW, i'm not gay.\\xc2\\xa0 I just love how you people try to defend your persecution of others while claiming your are being persecuted."""
104,0,20120610004410Z,"""weapons lol hes an idiot an waste of human space had it made and ruined it all"""
114,1,20120620063410Z,"""What an ass you are...funny I see a lot more of you ""nuts"" in cars then I ever have of pilots in panes..."""
124,0,,"""Nope. Not working for me either.32-23-34www.facebook.com/annagillmodel\\n\\n \\n\\nYou have my email! :) """
134,1,20120619175937Z,"""My best friend who is allergic to wheat, corn, soy, red dye, yellow dye, pistachios, tree nuts, kiwis, cherries, oranges, bananas, and seafood. If she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath. Last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic. I know a little about food allergies.\xa0\n\nI asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die. She said you are a bitch. So I do not really think it is insulting that she wants food allergies so she can die. I think we're back to you're a bitch."""
144,1,20120611204143Z,"""Can I say dick on here?\nYour a dick."""
154,0,,"""Should have hung for what he did, this country is all for the monsters that lurk among us!!!"""
164,0,20120618204044Z,"""You get the gold star!The best post I've seen on here in months!!Hilarious...Great job,Canadian!PS I think we need you to come down here.I'll sponsor you!!"""
174,0,20120529113543Z,"""GALLUP DAILY\nMay 24-26, 2012 \u2013 Updates daily at 1 p.m. ET; reflects one-day change\nNo updates Monday, May 28; next update will be Tuesday, May 29.\nObama Approval48%-\nObama Disapproval45%-1\nPRESIDENTIAL ELECTION\nObama47%-\nRomney45%-\n7-day rolling average\n\n It seems the bump Romney got is over and the president is on his game."""
184,0,20120529160040Z,"""I'll like your comment too if it makes you feel better."""
194,0,20120529211852Z,"""Yes  you have to have comedy in your life"""
204,1,20120619103111Z,"""Ight ima get in on you mr. Army man or w.e. the fuck you are. I have family fighting on battle field right now atleast 20 members are all juggalos. Just like me you little ick sucking divk whipped bitch. If you have the time to sit here and talk shit about family then you obviously aren't doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy."""
214,1,20120619024452Z,"""There are a lot of morons posting on this site but you are in a class all by yourself."""
224,0,20120530131336Z,"""They're not. The PG proposal is a list of people who have committed crimes with a gun. Not a way to register guns. (is no one else\xa0disturbed\xa0by the idea of the government maintaining lists of people they don't like. Cue '""you know who else had lists of people they don't like"" jokes in 3..2...)"""
234,1,20120620062056Z,"""You are incredibly stupid...."""
244,0,20120620180456Z,"""You wouldn't know a failed policy if it sent you and all your neighbors to the poorhouse."""
254,0,20120618202653Z,"""@SDL Unless that happened by chance..."""
264,0,20120527204604Z,"""Operation DICS:\n\n'Distract Investors from Crashing Stock'"""
274,0,20120530020342Z,"""Apparently Hickson has said he will take the min to play with LeBron again.. Good bench player for the Heat."""
284,1,20120609183559Z,"""I still dont see why half of you niggas click on every video that he post on wshh just to hate. If he so wack why the fuck you even click the video. #BASED"""
294,1,,"""Can we have your address so that when you die we can all come and pay our respects, and then urinate into your urn before they flush it?"""
304,0,20120529160528Z,"""No we have no concept of sitting on your butt and waiting for a hand out"""
