,Insult,Date,Comment
2,0,,"""A\\xc2\\xa0majority of Canadians can and has been wrong before now and will be again.\\n\\nUnless you're supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them's the breaks and we can always regard you as collateral damage like in wartime - and sorry, but\\xc2\\xa0the cheques in the mail. """
12,0,,"""@tonnyb  Or they just don't pay attention """
22,0,20120502215304Z,"""And you know they've burned holes in all the carpeting."""
32,0,,"""Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and\\xc2\\xa0a perfectly round mouth...if you know what I mean.\\nIF you have Progressive\\xc2\\xa0auto insurance, just know that part of your premium is going to fund a progressive liberal\\xc2\\xa0organization hell bent\\xc2\\xa0on destroying\\xc2\\xa0our country and our free speech. Their mission is to\\xc2\\xa0bring down\\xc2\\xa0Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc. We must not let them win."""
42,0,20120619231647Z,"""@beanstalk @briview Welp then NBW right?"""
52,0,20120529231612Z,"""Grazie mille Sabrina! Sei cos\xec dolce.\n\nBaci."""
62,0,20120612141919Z,"""stop pretending ur not bradley's side. you're the BS..are u blind don't give us that stupid\xa0long\xa0explainations of yours,\xa0you\xa0\xa0sounds like that 2 idiot judges exactly carbon copy !!...arum we need our moneyyyy bacckkkkkkk !!!!!!"""
72,0,20120529035809Z,"""I hope they do it inconjunction with July 4...."""
82,1,20120619162450Z,"""You are\xa0 a fukin moron. \xa0\xa0 You are just butthurt that you got rejected on WIkipedia.\n\nCall yoursilf scolar or whatever.\xa0 I am better than you,\xa0 just 14 and already a Wikipedia administrator.\xa0 You are just a stupid ashole."""
92,0,20120610020958Z,"""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
102,0,20120527213608Z,"""What horrible trades are you talking about?"""
112,0,20120619204714Z,"""Welfare queen into a whore, not a crack whore. \xa0I think a whore is a more productive worker than a welfare queen."""
122,0,20120612031614Z,"""If you throw trash out your window, you get a yellow star bumper sticker."""
132,0,20120611211947Z,"""are you fucking kidding me no mirrors fuck you freesteam"""
142,0,20120620155324Z,"""Very true, indeed! I've tried to sit down and study for hours straight without any breaks and I'm not nearly as effective as when I take a few breaks."""
152,0,20120618223658Z,"""Hey moron ""buttons1994"", Kerry won't be able to bully Obama like Romney bullied a gay boy when he was in prep school by physically assaulting him.\n\nBut the clown Romney won't be able to bully Obama in a debate either, so it's a wash."""
162,1,20120619195231Z,"""BITCH NIGGA YOU NEED AN EYE EXAM, AND EYE GLASSES! CASSIE ONE OF THE FINEST WOMEN ON EARTH!"""
172,0,20120530054153Z,"""The tirade isn't what people caused people to dislike her.  Read her comments.  Like this one, ""I know of her story and her husband. We all have stories. I mean, I almost died, and Venus is struggling herself. So, you know, it's life. "" \n\nShe comes across as uncaring and selfish.  On top of that she never gives an opponent any credit--it's always about what SHE did.\n\nI absolutely like Venus--consistently root for her and have for years--but Serena is an absolutely awful person that needs to grow up"""
182,0,,"""Quote from Teresa May ""That is why we have been trying to deport him to Jordan, his home country."" TRYING - Since when does a Sovereign have problems TRYING to deport diseased minded scum like him. Stuff the EU laws and if the UK is \\'fined\\' by the EUSSR for doing this then don\\'t pay it ... and then stop all financial payments to this corrupt experiment. It doesn\\'t work, its broke so listen to the PEOPLE Camoron and have an in or out referendum .. NOW!"""
192,1,20120527231602Z,"""Howe does it feel to be a Freedom Leech parasite?"""
202,1,20120619221729Z,"""who told you that....stupid ask yourself who kick his daughter out of the house at the age 16.....when it's comes protecting weaman you guys the last ppl on earth who can open their mounths.."""
212,1,20120320200133Z,"""You as stupid as you were yesterday."""
222,0,20120611184459Z,"""SO IS A SKUNK HALF BLACK AND HALF WHITE AND THEY BOTH STINK. WHY DO B L A C K PEOPLE STINK, SO BLIND PEOPLE CAN H A T E\nTHEM TOO. LOL"""
232,0,,"""\\xc2\\xa0""It means the world isn\\'t changing, it means the world has already \\nchanged,"" Steven Goldstein, chairman of the gay rights group Garden \\nState Equality.\\xc2\\xa0 BUT, right is right and wrong is still wrong!"""
242,0,20120620132202Z,"""The Democrats would sell out our young job seekers for a handful of illegal votes and a 50 cent tomato."""
252,0,,"""If you want to lick Jewish ass, go do it in Jerusalem. but stop using this country you Israel-first traitor."""
262,0,20120619220205Z,"""If you wrap your computer in foil you can stop them from taking your posts down."""
